GEOID,X,Y
4703700000499_1,-86.76896196030,36.10534975240
4703700000499_2,-86.76981489100,36.09945406590
4703700000499_3,-86.77186940640,36.09721331190
4703700000499_4,-86.76921170690,36.08710263060
4703700000499_5,-86.77672985990,36.10394775790
4703700000499_6,-86.76606367640,36.08493718250
4703700000499_7,-86.78488410180,36.09678093120
4703700000499_8,-86.77003567360,36.10506719850
4703700000499_9,-86.78157825800,36.08864390020
4703700000499_10,-86.76638925640,36.08520552770
4703700000233_1,-86.82355068060,36.16899828010
4703700000233_2,-86.82164624210,36.16946154140
4703700000233_3,-86.82862485330,36.17252520370
4703700000233_4,-86.83247356490,36.17419745210
4703700000233_5,-86.82655099350,36.17680220470
4703700000233_6,-86.83352509780,36.16639433620
4703700000233_7,-86.82519350610,36.16843288930
4703700000233_8,-86.82830427830,36.17513707590
4703700000233_9,-86.82889939070,36.18204171140
4703700000233_10,-86.83185675850,36.17208774440
4703700000505_1,-86.78041384820,36.10868100480
4703700000505_2,-86.77271484060,36.11214303380
4703700000505_3,-86.77692386620,36.11357473080
4703700000505_4,-86.78403676770,36.10831371150
4703700000505_5,-86.78392604680,36.10597366540
4703700000505_6,-86.77209051260,36.11240515840
4703700000505_7,-86.78032658270,36.10834696880
4703700000505_8,-86.77532771210,36.11202946410
4703700000505_9,-86.77755365630,36.11080846490
4703700000505_10,-86.77586534080,36.10958743240
4703700000506_1,-86.77982111720,36.11485287310
4703700000506_2,-86.78627292660,36.11504031670
4703700000506_3,-86.78520118710,36.11173972330
4703700000506_4,-86.78723610640,36.11180778510
4703700000506_5,-86.78266188910,36.11550266940
4703700000506_6,-86.78205860920,36.11464998360
4703700000506_7,-86.78001896690,36.11397321700
4703700000506_8,-86.78449307120,36.11104138520
4703700000506_9,-86.78458265960,36.11334142400
4703700000506_10,-86.78467089550,36.11483374800
4703700000507_1,-86.78921778330,36.10621822400
4703700000507_2,-86.79741520800,36.11061374050
4703700000507_3,-86.79083179590,36.10730487220
4703700000507_4,-86.79028799580,36.10906170500
4703700000507_5,-86.78872128190,36.11017390930
4703700000507_6,-86.78648257270,36.10825200120
4703700000507_7,-86.79461294820,36.11140795320
4703700000507_8,-86.79162674110,36.10677470770
4703700000507_9,-86.79708830780,36.11106556200
4703700000507_10,-86.79911922660,36.10916594250
4703700000511_1,-86.80548083120,36.11209307110
4703700000511_2,-86.80204644520,36.11032931530
4703700000511_3,-86.80873228240,36.11109556650
4703700000511_4,-86.81095771680,36.11030952710
4703700000511_5,-86.80993475880,36.11175866870
4703700000511_6,-86.80968305240,36.10941110490
4703700000511_7,-86.80074276440,36.10767934230
4703700000511_8,-86.81116997340,36.11049285200
4703700000511_9,-86.81106548600,36.11198210590
4703700000511_10,-86.80575370050,36.10838992300
4703700000516_1,-86.81447335660,36.11343618990
4703700000516_2,-86.83364402630,36.11355057670
4703700000516_3,-86.83565074310,36.11018678130
4703700000516_4,-86.82125357330,36.11114482200
4703700000516_5,-86.81989046780,36.11026780450
4703700000516_6,-86.82720561760,36.11500069000
4703700000516_7,-86.83346683550,36.11612079450
4703700000516_8,-86.83600801000,36.11515819660
4703700000516_9,-86.82174373510,36.10850465390
4703700000516_10,-86.83138216820,36.11031858090
4703700000724_1,-86.78106066410,36.14978181280
4703700000724_2,-86.78222377310,36.15216499820
4703700000724_3,-86.77944442360,36.15077040880
4703700000724_4,-86.78174572190,36.15085789670
4703700000724_5,-86.78179642910,36.15152850940
4703700000724_6,-86.78017692090,36.15167444400
4703700000724_7,-86.77954688400,36.15040220810
4703700000724_8,-86.78047613290,36.14960482120
4703700000724_9,-86.77856108640,36.14996354040
4703700000724_10,-86.77890079770,36.15138875420
4703700000708_1,-86.77456037430,36.15689472630
4703700000708_2,-86.77574562890,36.15681257350
4703700000708_3,-86.77591829200,36.15545575710
4703700000708_4,-86.77664944760,36.15595333460
4703700000708_5,-86.77618458920,36.15856041700
4703700000708_6,-86.77611393950,36.15761473430
4703700000708_7,-86.77549456640,36.15677867090
4703700000708_8,-86.77767501570,36.15696501410
4703700000708_9,-86.77571541870,36.15811583310
4703700000708_10,-86.77745446510,36.15512517750
4703700000710_1,-86.77692906660,36.15107380050
4703700000710_2,-86.77738004290,36.15350268020
4703700000710_3,-86.77656633220,36.15279827490
4703700000710_4,-86.77491026030,36.14923567680
4703700000710_5,-86.77655128520,36.15314657240
4703700000710_6,-86.77370266310,36.14998460420
4703700000710_7,-86.77665075560,36.15327987630
4703700000710_8,-86.77690348460,36.15198510490
4703700000710_9,-86.77826852620,36.15245149000
4703700000710_10,-86.77459015010,36.14935995850
4703700000709_1,-86.77933402110,36.15498500240
4703700000709_2,-86.78314111240,36.15530882080
4703700000709_3,-86.78058856170,36.15657910510
4703700000709_4,-86.78251026130,36.15409111590
4703700000709_5,-86.78205798760,36.15611600440
4703700000709_6,-86.78026552950,36.15637799470
4703700000709_7,-86.78198706080,36.15410930140
4703700000709_8,-86.77978837090,36.15446984710
4703700000709_9,-86.77844275490,36.15503604970
4703700000709_10,-86.78128034000,36.15415131450
4703700000716_1,-86.78794564450,36.15468564850
4703700000716_2,-86.78662224410,36.15224723520
4703700000716_3,-86.78833530960,36.15198349680
4703700000716_4,-86.78547160920,36.15512313110
4703700000716_5,-86.79277436580,36.14896213580
4703700000716_6,-86.78759497380,36.15224800120
4703700000716_7,-86.78785712060,36.15514304490
4703700000716_8,-86.78762691560,36.15548529300
4703700000716_9,-86.79298895750,36.14871278180
4703700000716_10,-86.78920184680,36.15279583210
4703700000711_1,-86.78396439220,36.15797374700
4703700000711_2,-86.78165662590,36.15753256000
4703700000711_3,-86.78004029680,36.15779776620
4703700000711_4,-86.78465442120,36.15766177330
4703700000711_5,-86.78231028930,36.15786118680
4703700000711_6,-86.78139923550,36.15797269810
4703700000711_7,-86.78375078470,36.15771187450
4703700000711_8,-86.78055406830,36.15726878520
4703700000711_9,-86.78314369120,36.15741503600
4703700000711_10,-86.78135245030,36.15691423970
4703700000707_1,-86.78509099040,36.15652354930
4703700000707_2,-86.78401328640,36.15256374790
4703700000707_3,-86.78065087800,36.15252219180
4703700000707_4,-86.78115147600,36.15230234300
4703700000707_5,-86.78485049670,36.15573470420
4703700000707_6,-86.78222429460,36.15354137100
4703700000707_7,-86.78283853350,36.15274059220
4703700000707_8,-86.78092382570,36.15288315850
4703700000707_9,-86.78242004380,36.15305187470
4703700000707_10,-86.78329138590,36.15407256060
4703700000706_1,-86.77919045360,36.15783980170
4703700000706_2,-86.77699663570,36.16040795930
4703700000706_3,-86.77713582030,36.15882071250
4703700000706_4,-86.77760867520,36.16006997250
4703700000706_5,-86.77979755120,36.15967899680
4703700000706_6,-86.77699801600,36.15950020580
4703700000706_7,-86.77686658760,36.15952510070
4703700000706_8,-86.77886449630,36.16002165900
4703700000706_9,-86.77781706330,36.16054116420
4703700000706_10,-86.77660836840,36.15995080560
4703700000441_1,-86.80495102160,36.15209308890
4703700000441_2,-86.80511099430,36.15382205450
4703700000441_3,-86.80587885060,36.15138785970
4703700000441_4,-86.80392949850,36.15388625830
4703700000441_5,-86.80533596340,36.15210831360
4703700000441_6,-86.80384607330,36.15186170570
4703700000441_7,-86.80520764000,36.15103417560
4703700000441_8,-86.80483327390,36.15093116540
4703700000441_9,-86.80294902110,36.15256336610
4703700000441_10,-86.80459843130,36.15266422450
4703700000439_1,-86.80670936720,36.15122200930
4703700000439_2,-86.80816077300,36.15017576930
4703700000439_3,-86.80929309660,36.15117197190
4703700000439_4,-86.81004914800,36.15021828430
4703700000439_5,-86.80734295430,36.15151663190
4703700000439_6,-86.80871744350,36.15063756050
4703700000439_7,-86.80672049400,36.15165797810
4703700000439_8,-86.80737783180,36.15149441570
4703700000439_9,-86.80935268060,36.14931562120
4703700000439_10,-86.80690950620,36.15103478770
4703700000443_1,-86.80735085420,36.14968717770
4703700000443_2,-86.80866829760,36.14943092580
4703700000443_3,-86.80617380410,36.14982950290
4703700000443_4,-86.80841628080,36.14854515410
4703700000443_5,-86.80917952150,36.14927348500
4703700000443_6,-86.80621732190,36.15030422280
4703700000443_7,-86.80819180850,36.14948402340
4703700000443_8,-86.80615834650,36.14990569200
4703700000443_9,-86.80717580810,36.14864926600
4703700000443_10,-86.80627435720,36.15051623170
4703700000686_1,-86.75294723710,36.16677501370
4703700000686_2,-86.75087128180,36.16424466730
4703700000686_3,-86.75613166510,36.16235509330
4703700000686_4,-86.75523710820,36.16250372610
4703700000686_5,-86.75568642740,36.16197081970
4703700000686_6,-86.75087051810,36.16309726250
4703700000686_7,-86.75382745820,36.16953047590
