34,0:10:13
37,0:00:27
38,0:00:13
39,0:00:25
40,0:00:30
42,0:10:45
43,0:00:29
46,0:00:20
47,0:04:40
49,0:04:32
50,0:06:45
52,0:10:46
54,0:08:27
55,0:00:30
56,0:04:27
57,0:00:46
58,0:00:24
59,0:02:36
60,0:00:36
61,0:00:50
62,0:00:47
63,0:00:35
64,0:01:00
65,0:06:33
66,0:06:49
68,0:02:39
69,0:00:51
70,0:02:28
71,0:00:27
72,0:00:43
73,0:04:42
74,0:10:49
75,0:00:47
76,0:02:40
77,0:04:49
78,0:00:31
79,0:00:49
80,0:02:33
81,0:08:42
82,0:00:42
84,0:06:40
85,0:02:51
86,0:06:47
87,0:00:40
88,0:00:56
89,0:00:47
90,0:05:17
91,0:09:09
92,0:05:07
94,0:00:30
95,0:01:09
