startTime,endTime,energy
1,1,-320.0
2,2,-310.0
3,3,-300.0
4,4,-290.0
5,5,-270.0
6,6,-260.0
7,7,-250.0
8,8,-250.0
9,9,-240.0
10,10,-240.0
11,11,-240.0
12,12,-240.0
13,13,-240.0
14,14,-240.0
15,15,-240.0
16,16,-250.0
17,17,-270.0
18,18,-280.0
19,19,-300.0
20,20,-320.0
21,21,-320.0
22,22,-320.0
23,23,-320.0
24,24,-320.0
25,25,-320.0
26,26,-330.0
27,27,-340.0
28,28,-360.0
29,29,-390.0
30,30,-430.0
31,31,-480.0
32,32,-540.0
33,33,-620.0
34,34,-700.0
35,35,-780.0
36,36,-840.0
37,37,-880.0000000000001
38,38,-890.0
39,39,-900.0
40,40,-900.0
41,41,-900.0
42,42,-910.0
43,43,-919.9999999999999
44,44,-919.9999999999999
45,45,-930.0000000000001
46,46,-940.0
47,47,-940.0
48,48,-940.0
49,49,-919.9999999999999
50,50,-900.0
51,51,-869.9999999999999
52,52,-840.0
53,53,-810.0
54,54,-780.0
55,55,-760.0
56,56,-740.0
57,57,-730.0
58,58,-740.0
59,59,-740.0
60,60,-760.0
61,61,-770.0
62,62,-790.0
63,63,-800.0
64,64,-800.0
65,65,-800.0
66,66,-790.0
67,67,-790.0
68,68,-780.0
69,69,-780.0
70,70,-780.0
71,71,-770.0
72,72,-740.0
73,73,-710.0
74,74,-660.0
75,75,-600.0
76,76,-550.0
77,77,-500.0
78,78,-450.0
79,79,-420.0
80,80,-400.0
81,81,-390.0
82,82,-400.0
83,83,-400.0
84,84,-409.99999999999994
85,85,-409.99999999999994
86,86,-400.0
87,87,-390.0
88,88,-380.0
89,89,-370.0
90,90,-370.0
91,91,-360.0
92,92,-360.0
93,93,-350.0
94,94,-350.0
95,95,-340.0
96,96,-330.0
