startTime,endTime,energy
1,1,8.9
2,2,8.1
3,3,7.499999999999999
4,4,6.800000000000001
5,5,6.300000000000001
6,6,6.100000000000001
7,7,6.000000000000001
8,8,6.000000000000001
9,9,5.9
10,10,5.800000000000001
11,11,5.800000000000001
12,12,5.800000000000001
13,13,5.800000000000001
14,14,5.7
15,15,5.7
16,16,5.800000000000001
17,17,6.0
18,18,6.200000000000001
19,19,6.4
20,20,6.700000000000001
21,21,6.700000000000001
22,22,6.700000000000001
23,23,6.9
24,24,7.699999999999999
25,25,8.4
26,26,9.4
27,27,10.100000000000001
28,28,11.200000000000001
29,29,11.9
30,30,12.599999999999998
31,31,13.3
32,32,14.0
33,33,15.2
34,34,16.2
35,35,17.3
36,36,17.9
37,37,18.3
38,38,18.4
39,39,18.5
40,40,18.5
41,41,18.2
42,42,18.299999999999997
43,43,18.2
44,44,18.2
45,45,18.3
46,46,18.6
47,47,18.9
48,48,18.9
49,49,18.9
50,50,19.199999999999996
51,51,19.099999999999998
52,52,18.9
53,53,18.5
54,54,17.999999999999996
55,55,17.299999999999997
56,56,16.9
57,57,16.3
58,58,15.9
59,59,15.7
60,60,15.799999999999999
61,61,15.600000000000001
62,62,15.700000000000001
63,63,15.7
64,64,15.600000000000001
65,65,15.5
66,66,15.400000000000002
67,67,15.400000000000002
68,68,15.4
69,69,15.5
70,70,15.600000000000001
71,71,15.7
72,72,15.7
73,73,15.6
74,74,15.6
75,75,15.5
76,76,15.2
77,77,15.199999999999998
78,78,14.999999999999998
79,79,15.2
80,80,15.2
81,81,15.1
82,82,14.999999999999998
83,83,14.6
84,84,14.599999999999998
85,85,14.499999999999998
86,86,14.199999999999998
87,87,14.099999999999998
88,88,13.799999999999997
89,89,13.399999999999999
90,90,13.3
91,91,13.1
92,92,12.299999999999999
93,93,11.7
94,94,11.2
95,95,10.4
96,96,9.5
