startTime,endTime,energy
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.2
28,28,1.2000000000000002
29,29,2.8
30,30,4.6
31,31,6.9
32,32,9.5
33,33,12.5
34,34,15.799999999999999
35,35,19.3
36,36,23.0
37,37,27.099999999999998
38,38,31.2
39,39,35.6
40,40,39.900000000000006
41,41,44.300000000000004
42,42,48.800000000000004
43,43,53.1
44,44,57.4
45,45,61.5
46,46,65.5
47,47,69.3
48,48,72.8
49,49,76.19999999999999
50,50,79.10000000000001
51,51,81.6
52,52,84.0
53,53,85.8
54,54,87.2
55,55,88.3
56,56,88.9
57,57,89.10000000000001
58,58,88.9
59,59,88.2
60,60,87.10000000000001
61,61,85.6
62,62,83.6
63,63,81.3
64,64,78.7
65,65,75.7
66,66,72.4
67,67,68.8
68,68,65.0
69,69,61.0
70,70,56.8
71,71,52.5
72,72,48.1
73,73,43.7
74,74,39.300000000000004
75,75,34.9
76,76,30.599999999999998
77,77,26.5
78,78,22.5
79,79,18.8
80,80,15.2
81,81,12.0
82,82,9.1
83,83,6.5
84,84,4.3
85,85,2.5
86,86,1.0
87,87,0.0
88,88,0.0
89,89,0.0
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.0
94,94,0.0
95,95,0.0
96,96,0.0
