startTime,endTime,energy
1,1,3.3
2,2,3.0
3,3,2.6999999999999997
4,4,2.5
5,5,2.2
6,6,2.1
7,7,2.0
8,8,2.0
9,9,2.0
10,10,2.0
11,11,2.0
12,12,2.0
13,13,1.8
14,14,1.8
15,15,1.8
16,16,1.8
17,17,1.8
18,18,2.0
19,19,2.0
20,20,2.0
21,21,2.0
22,22,2.1
23,23,2.4
24,24,2.6999999999999997
25,25,3.0
26,26,3.4999999999999996
27,27,4.0
28,28,4.5
29,29,4.7
30,30,5.1
31,31,5.1
32,32,5.199999999999999
33,33,5.3
34,34,5.3
35,35,5.4
36,36,5.7
37,37,5.800000000000001
38,38,5.7
39,39,5.5
40,40,5.4
41,41,5.3
42,42,5.3
43,43,5.3
44,44,5.3
45,45,5.3
46,46,5.3
47,47,5.4
48,48,5.800000000000001
49,49,5.9
50,50,6.0
51,51,6.1
52,52,6.300000000000001
53,53,6.1
54,54,6.0
55,55,5.9
56,56,5.7
57,57,5.3
58,58,5.1
59,59,5.1
60,60,4.8
61,61,4.7
62,62,4.6000000000000005
63,63,4.6000000000000005
64,64,4.5
65,65,4.5
66,66,4.5
67,67,4.5
68,68,4.5
69,69,4.6000000000000005
70,70,4.7
71,71,4.7
72,72,5.1
73,73,5.1
74,74,5.3
75,75,5.800000000000001
76,76,5.9
77,77,6.0
78,78,6.5
79,79,6.5
80,80,6.6
81,81,6.6
82,82,6.5
83,83,6.5
84,84,6.300000000000001
85,85,6.0
86,86,6.0
87,87,6.0
88,88,6.0
89,89,6.0
90,90,5.800000000000001
91,91,5.4
92,92,5.199999999999999
93,93,5.0
94,94,4.6000000000000005
95,95,4.1
96,96,3.6999999999999997
