startTime,endTime,energy
0,0,-0.0
1,1,-0.0
2,2,-0.0
3,3,-0.0
4,4,-0.0
5,5,-0.0
6,6,-0.0
7,7,-0.0
8,8,-0.0
9,9,-0.0
10,10,-0.0
11,11,-0.0
12,12,-0.0
13,13,-0.0
14,14,-0.0
15,15,-0.0
16,16,-0.0
17,17,-0.0
18,18,-0.0
19,19,-0.0
20,20,-0.0
21,21,-0.0
22,22,-0.0
23,23,-0.0
24,24,0.0018776819124337331
25,25,0.011348919021008666
26,26,0.02941662710853334
27,27,0.058273772064186664
28,28,0.10550740614664
29,29,0.16540122940213334
30,30,0.2255613560446667
31,31,0.3156352866233334
32,32,0.5115668632703334
33,33,0.7507909216095335
34,34,1.0351076158488666
35,35,1.3489149201153336
36,36,1.6750454230233331
37,37,1.9940086130000003
38,38,2.3006172570953334
39,39,2.5935170051473326
40,40,2.9197247508246664
41,41,3.2526554380813324
42,42,3.5076391078053333
43,43,3.6706269938613336
44,44,3.538465729075333
45,45,3.208728929317333
46,46,3.000671025141333
47,47,2.9486344471840003
48,48,3.363324589984
49,49,4.087993941289334
50,50,4.665684686174666
51,51,5.076286010745333
52,52,5.136282990860666
53,53,4.950143054294666
54,54,4.787407023491334
55,55,4.650141781276668
56,56,4.558513842216
57,57,4.497667103807999
58,58,4.434608439362
59,59,4.367589908074667
60,60,4.326519634937333
61,61,4.283375351195333
62,62,4.186368825912667
63,63,4.039544690746666
64,64,3.8292909466553327
65,65,3.579119688020667
66,66,3.3236829355099995
67,67,3.0632730140880002
68,68,2.815284272318667
69,69,2.564499714686667
70,70,2.2862863588926663
71,71,1.987613848574
72,72,1.67694912281
73,73,1.3589237072820002
74,74,1.0417428936839332
75,75,0.7381148092686
76,76,0.5061505879877332
77,77,0.444888532742
78,78,0.3945644756889333
79,79,0.3414801709799333
80,80,0.2746875637362
81,81,0.2016214797507333
82,82,0.13976418114966663
83,83,0.08912551787492666
84,84,0.05527545300398667
85,85,0.03443931706733999
86,86,0.017739650388346663
87,87,0.005178395455551533
88,88,-0.0
89,89,-0.0
90,90,-0.0
91,91,-0.0
92,92,-0.0
93,93,-0.0
94,94,-0.0
95,95,-0.0
