# log_file_ctrl.csv
# Fri Oct  4 20:30:06 2019
# Market_ctrl
# market_id,timestamp,bidder_name,bid_price,bid_quantity,bid_state
1,2009-06-01 00:00:00 PDT,seller_bid,0.000000,3000.000000,unknown
1,2009-06-01 00:02:00 PDT,control_4,0.630000,-3.331228,on
1,2009-06-01 00:03:00 PDT,seller_bid,0.000000,3000.000000,unknown
1,2009-06-01 00:05:00 PDT,substation_transformer,0.630000,-331.207017,on
2,2009-06-01 00:05:00 PDT,control_4,0.630000,-4.654598,on
2,2009-06-01 00:05:00 PDT,seller_bid,0.000000,3000.000000,unknown
2,2009-06-01 00:08:00 PDT,seller_bid,0.075000,3000.000000,unknown
2,2009-06-01 00:10:00 PDT,substation_transformer,0.630000,-332.987622,on
3,2009-06-01 00:10:00 PDT,seller_bid,0.075000,3000.000000,unknown
3,2009-06-01 00:13:00 PDT,seller_bid,0.075000,3000.000000,unknown
3,2009-06-01 00:15:00 PDT,substation_transformer,0.630000,-328.289159,on
4,2009-06-01 00:15:00 PDT,control_4,0.151486,-4.651606,off
4,2009-06-01 00:15:00 PDT,seller_bid,0.075000,3000.000000,unknown
4,2009-06-01 00:18:00 PDT,control_4,0.193490,-4.650433,on
4,2009-06-01 00:18:00 PDT,seller_bid,0.075000,3000.000000,unknown
4,2009-06-01 00:20:00 PDT,substation_transformer,0.630000,-328.120445,on
5,2009-06-01 00:20:00 PDT,seller_bid,0.075000,3000.000000,unknown
5,2009-06-01 00:20:00 PDT,control_2,0.191787,-3.983284,off
5,2009-06-01 00:23:00 PDT,seller_bid,0.075000,3000.000000,unknown
5,2009-06-01 00:25:00 PDT,substation_transformer,0.630000,-339.698877,on
6,2009-06-01 00:25:00 PDT,control_4,0.175022,-4.647612,off
6,2009-06-01 00:25:00 PDT,seller_bid,0.075000,3000.000000,unknown
6,2009-06-01 00:25:00 PDT,control_2,0.217502,-3.983284,off
6,2009-06-01 00:28:00 PDT,control_4,0.172301,-4.645580,on
6,2009-06-01 00:28:00 PDT,seller_bid,0.075000,3000.000000,unknown
6,2009-06-01 00:30:00 PDT,substation_transformer,0.630000,-327.387780,on
7,2009-06-01 00:30:00 PDT,seller_bid,0.075000,3000.000000,unknown
