market_id,timestamp,bidder_name,bid_price,bid_quantity,bid_state
509.0,2009-06-02 18:26:00 PDT,bidder_control_21,+0.229504,-7.02436,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_54,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_58,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_71,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_56,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_39,+0.231967,-11.9807,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_80,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_34,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_24,+0.229404,-7.50285,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_55,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_44,+0.23208,-7.78924,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_68,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_64,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_15,+0.229728,-8.00047,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_5,+0.230357,-4.23666,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_52,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_12,+0.228923,-11.4672,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_0,+0.229961,-8.35359,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_76,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_31,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_87,+0.229089,-13.2562,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_16,+0.229934,-10.4966,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_89,+0.22979,-15.3292,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_107,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_99,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_66,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_59,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_91,+0.229303,-16.2726,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_60,+0.229909,-4.90504,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_26,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_45,+0,-0.0,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_8,+0.230886,-6.00375,unknown
509.0,2009-06-02 18:26:00 PDT,bidder_control_86,+0.229004,-15.4918,unknown
509.0,2009-06-02 18:26:00 PDT,unresp_bidder_nom,+0.63,-713.381,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_40,+0.504,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_3,+0.0378,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_13,+0.1638,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_17,+0.2142,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_48,+0.6048,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_31,+0.3906,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_29,+0.3654,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_30,+0.378,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_34,+0.4284,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_46,+0.5796,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_37,+0.4662,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_6,+0.0756,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_9,+0.1134,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_27,+0.3402,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_20,+0.252,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_1,+0.0126,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_50,+0.63,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_11,+0.1386,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_14,+0.1764,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_45,+0.567,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_19,+0.2394,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_49,+0.6174,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_26,+0.3276,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_44,+0.5544,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_18,+0.2268,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_4,+0.0504,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_22,+0.2772,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_12,+0.1512,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_41,+0.5166,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_15,+0.189,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_47,+0.5922,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_10,+0.126,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_8,+0.1008,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_24,+0.3024,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_33,+0.4158,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_38,+0.4788,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_7,+0.0882,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_36,+0.4536,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_43,+0.5418,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_16,+0.2016,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_21,+0.2646,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_35,+0.441,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_28,+0.3528,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_42,+0.5292,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_32,+0.4032,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_23,+0.2898,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_39,+0.4914,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_5,+0.063,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_25,+0.315,+60,unknown
509.0,2009-06-02 18:26:00 PDT,block_nom_2,+0.0252,+60,unknown
